,merchant_code,price,stock,daily_gmv,daily_sold,daily_view,rating,total_review,total_sold
12261,2768.0,5250000.0,49.0,0.0,0.0,5.0,100.0,18.0,41.0
12262,2765.0,4950000.0,999994.0,0.0,0.0,2.0,100.0,20.0,28.0
12263,948.0,4500000.0,999982.0,0.0,0.0,1.0,100.0,48.0,74.0
12264,1321.0,3349000.0,9996.0,0.0,0.0,18.0,70.0,4.0,11.0
12265,1187.0,5000000.0,999971.0,0.0,0.0,1.0,100.0,30.0,101.0
12266,928.0,3559000.0,9959.0,0.0,0.0,35.0,98.0,79.0,132.0
12267,512.0,6800000.0,999986.0,0.0,0.0,2.0,100.0,31.0,50.0
12268,2620.0,4500000.0,3.0,0.0,0.0,1.0,100.0,24.0,35.0
12269,1017.0,5000000.0,999885.0,0.0,0.0,3.0,100.0,31.0,143.0
12270,1059.0,5150000.0,999964.0,0.0,0.0,2.0,99.0,24.0,56.0
12271,2769.0,4250000.0,999966.0,8500000.0,2.0,1.0,100.0,18.0,38.0
12272,1021.0,2999000.0,9991.0,0.0,0.0,44.0,100.0,4.0,16.0
12273,2762.0,5000000.0,999996.0,0.0,0.0,1.0,99.0,29.0,34.0
12274,57.0,4199000.0,999999.0,0.0,0.0,1.0,100.0,28.0,39.0
12275,2760.0,5200000.0,999989.0,0.0,0.0,1.0,100.0,20.0,30.0
12276,1325.0,5000000.0,999953.0,0.0,0.0,3.0,100.0,22.0,56.0
12277,2739.0,5200000.0,1.0,0.0,0.0,3.0,100.0,31.0,44.0
12278,876.0,3399000.0,45.0,0.0,0.0,3.0,99.0,41.0,76.0
12279,1138.0,3850000.0,999949.0,0.0,0.0,5.0,100.0,30.0,88.0
12280,1349.0,5000000.0,999922.0,0.0,0.0,8.0,100.0,72.0,95.0
12281,2770.0,5000000.0,999984.0,0.0,0.0,1.0,99.0,27.0,84.0
12282,2511.0,5000000.0,999980.0,0.0,0.0,9.0,96.0,31.0,41.0
12283,888.0,4975000.0,999819.0,0.0,0.0,10.0,100.0,67.0,180.0
12284,512.0,6800000.0,999986.0,0.0,0.0,2.0,100.0,31.0,50.0
12285,2769.0,4250000.0,999968.0,0.0,0.0,2.0,100.0,18.0,36.0
12286,2759.0,5100000.0,999961.0,0.0,0.0,1.0,100.0,22.0,67.0
12287,2511.0,5000000.0,999980.0,0.0,0.0,8.0,96.0,31.0,41.0
12288,1138.0,3850000.0,999949.0,0.0,0.0,3.0,100.0,30.0,88.0
12289,1024.0,5000000.0,999961.0,0.0,0.0,3.0,100.0,29.0,65.0
12290,948.0,4500000.0,999982.0,0.0,0.0,2.0,100.0,48.0,74.0
12291,876.0,3399000.0,45.0,0.0,0.0,15.0,99.0,41.0,76.0
12292,1019.0,4989000.0,999900.0,0.0,0.0,7.0,100.0,51.0,101.0
12293,1138.0,3850000.0,999949.0,0.0,0.0,2.0,100.0,30.0,88.0
12294,1011.0,4988500.0,9951.0,0.0,0.0,20.0,100.0,34.0,49.0
12295,1320.0,5150000.0,999970.0,0.0,0.0,4.0,100.0,39.0,140.0
12296,2363.0,4950000.0,1.0,0.0,0.0,3.0,100.0,20.0,31.0
12297,1187.0,6500000.0,999965.0,0.0,0.0,17.0,100.0,27.0,63.0
12298,1014.0,4500000.0,999930.0,0.0,0.0,9.0,100.0,90.0,144.0
12299,1021.0,3499000.0,9998.0,0.0,0.0,7.0,100.0,4.0,13.0
12300,2760.0,5200000.0,999989.0,0.0,0.0,2.0,100.0,20.0,30.0
12301,2511.0,5000000.0,999980.0,0.0,0.0,10.0,96.0,31.0,41.0
12302,1249.0,4900000.0,999992.0,0.0,0.0,2.0,100.0,18.0,21.0
12303,2760.0,5200000.0,999989.0,0.0,0.0,1.0,100.0,20.0,30.0
12304,1326.0,4750000.0,27.0,0.0,0.0,1.0,100.0,28.0,43.0
12305,3.0,3099900.0,999999.0,0.0,0.0,2.0,98.0,22.0,34.0
12306,2766.0,4500000.0,999948.0,0.0,0.0,4.0,100.0,18.0,69.0
12307,1246.0,4600000.0,999986.0,0.0,0.0,1.0,100.0,20.0,24.0
12308,1017.0,5000000.0,999885.0,0.0,0.0,29.0,100.0,31.0,143.0
12309,1326.0,4750000.0,27.0,0.0,0.0,1.0,100.0,28.0,43.0
12310,2761.0,5000000.0,999984.0,0.0,0.0,2.0,100.0,27.0,38.0
12311,1316.0,4999000.0,999984.0,0.0,0.0,2.0,100.0,19.0,39.0
12312,2536.0,4300000.0,999983.0,0.0,0.0,2.0,100.0,21.0,43.0
12313,931.0,3899000.0,28.0,0.0,0.0,10.0,100.0,20.0,28.0
12314,1187.0,6500000.0,999965.0,0.0,0.0,23.0,100.0,27.0,63.0
12315,2757.0,4599000.0,2.0,0.0,0.0,2.0,100.0,23.0,36.0
12316,1059.0,5150000.0,999963.0,5150000.0,1.0,2.0,99.0,24.0,57.0
12317,875.0,3399000.0,9992.0,0.0,0.0,226.0,95.0,304.0,662.0
12318,1328.0,4971000.0,158.0,0.0,0.0,1.0,100.0,27.0,27.0
12319,1349.0,5000000.0,999922.0,0.0,0.0,10.0,100.0,72.0,95.0
12320,1106.0,4988000.0,32.0,0.0,0.0,3.0,100.0,19.0,19.0
12321,2763.0,4700000.0,999998.0,0.0,0.0,1.0,100.0,20.0,43.0
12322,28.0,3349000.0,99997.0,0.0,0.0,37.0,98.0,86.0,143.0
12323,1024.0,5000000.0,999961.0,0.0,0.0,4.0,100.0,29.0,65.0
12324,1033.0,4750000.0,999957.0,0.0,0.0,6.0,100.0,14.0,45.0
12325,1314.0,4190000.0,999984.0,0.0,0.0,3.0,100.0,15.0,31.0
12326,2739.0,5200000.0,1.0,0.0,0.0,2.0,100.0,31.0,44.0
12327,1320.0,5150000.0,999970.0,0.0,0.0,2.0,100.0,39.0,140.0
12328,2769.0,4250000.0,999968.0,0.0,0.0,1.0,100.0,18.0,36.0
12329,1029.0,4350000.0,9995.0,0.0,0.0,1.0,100.0,6.0,14.0
12330,2771.0,10000000.0,999983.0,0.0,0.0,17.0,100.0,3.0,24.0
12331,928.0,3559000.0,9959.0,0.0,0.0,8.0,98.0,79.0,132.0
12332,2770.0,5000000.0,999983.0,0.0,0.0,1.0,99.0,27.0,85.0
12333,2766.0,4500000.0,999948.0,0.0,0.0,3.0,100.0,18.0,69.0
12334,1327.0,4950000.0,3.0,0.0,0.0,1.0,100.0,24.0,61.0
12335,2769.0,4250000.0,999966.0,0.0,0.0,2.0,100.0,18.0,38.0
12336,2757.0,4599000.0,2.0,0.0,0.0,2.0,100.0,23.0,36.0
12337,2761.0,5000000.0,999984.0,0.0,0.0,1.0,100.0,27.0,38.0
12338,883.0,3550000.0,999999.0,0.0,0.0,4.0,99.0,22.0,34.0
12339,982.0,3525000.0,9987.0,0.0,0.0,10.0,97.0,55.0,129.0
12340,1316.0,4999000.0,999984.0,0.0,0.0,2.0,100.0,19.0,39.0
12341,1024.0,5000000.0,999961.0,0.0,0.0,1.0,100.0,29.0,65.0
12342,64.0,4499000.0,9981.0,0.0,0.0,4.0,98.0,33.0,51.0
12343,2536.0,4300000.0,999983.0,0.0,0.0,1.0,100.0,21.0,43.0
12344,948.0,4500000.0,999982.0,0.0,0.0,4.0,100.0,48.0,74.0
12345,2759.0,5100000.0,999961.0,0.0,0.0,2.0,100.0,22.0,67.0
12346,1332.0,5050000.0,999953.0,0.0,0.0,7.0,100.0,1.0,69.0
12347,1285.0,4999000.0,16.0,0.0,0.0,6.0,100.0,18.0,50.0
12348,903.0,4590000.0,1.0,0.0,0.0,9.0,100.0,77.0,97.0
12349,1285.0,4999000.0,16.0,0.0,0.0,13.0,100.0,18.0,50.0
12350,912.0,4099900.0,990.0,0.0,0.0,13.0,98.0,28.0,44.0
12351,2217.0,4950000.0,455.0,0.0,0.0,1.0,100.0,20.0,46.0
12352,1338.0,4000000.0,999947.0,0.0,0.0,1.0,100.0,29.0,56.0
12353,2482.0,4976000.0,999975.0,0.0,0.0,1.0,99.0,24.0,24.0
12354,948.0,5000000.0,935.0,0.0,0.0,4.0,99.0,28.0,65.0
12355,926.0,4075000.0,8.0,4075000.0,1.0,18.0,100.0,20.0,36.0
12356,928.0,4249000.0,39.0,0.0,0.0,31.0,98.0,64.0,112.0
12357,883.0,4199999.0,9.0,-4199999.0,-1.0,190.0,98.0,53.0,100.0
12358,883.0,4199000.0,7.0,0.0,0.0,81.0,98.0,54.0,104.0
12359,909.0,4199000.0,2.0,12597000.0,3.0,71.0,99.0,51.0,91.0
12360,1307.0,4999000.0,9993.0,0.0,0.0,0.0,0.0,0.0,11.0
12361,1207.0,4990000.0,2.0,0.0,0.0,5.0,100.0,18.0,64.0
12362,1338.0,4000000.0,999947.0,0.0,0.0,1.0,100.0,29.0,56.0
12363,1207.0,4990000.0,2.0,0.0,0.0,2.0,100.0,18.0,64.0
12364,931.0,4249000.0,4.0,8498000.0,2.0,121.0,100.0,25.0,42.0
12365,1289.0,4700000.0,9973.0,0.0,0.0,1.0,100.0,24.0,36.0
12366,2772.0,4625000.0,5.0,0.0,0.0,1.0,100.0,34.0,50.0
12367,84.0,5149000.0,999982.0,0.0,0.0,26.0,100.0,5.0,17.0
12368,2217.0,4950000.0,455.0,0.0,0.0,1.0,100.0,20.0,45.0
12369,2773.0,4999000.0,51.0,0.0,0.0,12.0,100.0,18.0,48.0
12370,875.0,4199000.0,9985.0,0.0,0.0,31.0,97.0,48.0,89.0
12371,1924.0,4900000.0,9944.0,0.0,0.0,10.0,100.0,2.0,56.0
12372,908.0,4199000.0,91.0,0.0,0.0,8.0,100.0,6.0,9.0
12373,2773.0,4999000.0,51.0,0.0,0.0,7.0,100.0,18.0,48.0
12374,1333.0,5000000.0,999952.0,0.0,0.0,2.0,100.0,27.0,53.0
12375,1289.0,4700000.0,9973.0,0.0,0.0,2.0,100.0,23.0,35.0
12376,1335.0,4999000.0,9966.0,0.0,0.0,3.0,100.0,19.0,48.0
12377,883.0,4199000.0,7.0,0.0,0.0,60.0,98.0,54.0,104.0
12378,926.0,4150000.0,7.0,0.0,0.0,0.0,100.0,15.0,30.0
12379,912.0,4099900.0,990.0,0.0,0.0,13.0,98.0,28.0,44.0
12380,1207.0,4990000.0,2.0,0.0,0.0,4.0,100.0,18.0,64.0
12381,2384.0,4999000.0,1.0,0.0,0.0,3.0,100.0,31.0,60.0
12382,912.0,4179900.0,990.0,0.0,0.0,13.0,98.0,27.0,43.0
12383,1061.0,5999000.0,17.0,0.0,0.0,1.0,97.0,38.0,54.0
12384,905.0,4999000.0,9890.0,0.0,0.0,9.0,100.0,65.0,124.0
12385,2384.0,4999000.0,4.0,0.0,0.0,9.0,100.0,30.0,57.0
12386,931.0,4249000.0,4.0,0.0,0.0,76.0,100.0,25.0,42.0
12387,912.0,4389900.0,991.0,0.0,0.0,25.0,98.0,26.0,42.0
12388,1337.0,6300000.0,999977.0,0.0,0.0,2.0,98.0,10.0,23.0
12389,2482.0,4976000.0,999975.0,0.0,0.0,2.0,99.0,24.0,24.0
12390,1334.0,4999000.0,999917.0,0.0,0.0,7.0,100.0,21.0,82.0
12391,901.0,5000000.0,999971.0,0.0,0.0,2.0,100.0,18.0,28.0
12392,1289.0,4700000.0,9973.0,0.0,0.0,3.0,100.0,24.0,36.0
12393,911.0,4150000.0,4.0,0.0,0.0,32.0,99.0,33.0,60.0
12394,875.0,4499000.0,9986.0,0.0,0.0,40.0,97.0,47.0,90.0
12395,2773.0,4999000.0,51.0,0.0,0.0,6.0,100.0,18.0,48.0
12396,914.0,4220000.0,2.0,0.0,0.0,36.0,98.0,59.0,92.0
12397,1072.0,4999000.0,9954.0,0.0,0.0,1.0,100.0,25.0,46.0
12398,1333.0,5000000.0,999952.0,0.0,0.0,5.0,100.0,27.0,53.0
12399,1021.0,4999000.0,999971.0,0.0,0.0,6.0,100.0,10.0,38.0
12400,926.0,4099000.0,11.0,4099000.0,1.0,65.0,100.0,18.0,31.0
12401,1338.0,4000000.0,999947.0,0.0,0.0,2.0,100.0,29.0,56.0
12402,2773.0,4999000.0,51.0,0.0,0.0,4.0,100.0,18.0,48.0
12403,903.0,4590000.0,1.0,0.0,0.0,28.0,100.0,77.0,97.0
